cidade,área,quartos,banheiros,vagas garagem,andar,animal,mobiliado,condomínio,valor aluguel,valor IPTU,valor seguro,total
Uberlândia,439,1,1,3,7,0,0,3838,3144,636,10,7628
Duque de Caxias,177,2,4,4,0,0,1,4947,2913,1754,163,9777
Brasília,145,5,2,1,1,0,1,3071,9509,1877,116,14573
Maceió,478,5,2,4,4,0,0,1009,4202,1423,43,6677
Betim,69,1,1,1,8,1,0,3612,7519,390,36,11557
Uberlândia,57,1,2,4,0,0,0,272,6410,1992,116,8790
Maringá,52,3,1,1,2,1,0,4996,905,1705,64,7670
Recife,73,3,2,0,5,1,1,3858,6862,402,126,11248
Salvador,177,1,2,0,7,1,1,3561,7506,203,195,11465
Manaus,228,4,1,0,12,0,0,2462,7172,697,134,10465
Aparecida de Goiânia,257,2,2,4,9,1,1,1831,7766,1579,163,11339
Uberlândia,22,4,2,1,5,0,0,1948,583,1932,99,4562
Salvador,355,2,2,4,11,0,0,1797,1069,830,106,3802
Natal,411,1,2,2,16,1,1,2256,3243,1269,14,6782
Fortaleza,483,5,2,3,4,0,0,827,5898,1854,121,8700
Recife,239,4,2,4,5,0,0,1063,8511,792,89,10455
Guarulhos,82,1,3,2,7,0,1,4266,8645,1031,138,14080
Cuiabá,42,3,4,2,5,0,1,1527,4023,1407,194,7151
Niterói,39,4,4,0,10,1,0,2612,4380,78,22,7092
Cuiabá,236,2,2,4,6,1,0,482,772,1797,158,3209
Uberlândia,163,5,3,2,10,0,1,3853,5057,260,119,9289
Campo Grande,287,3,1,3,15,1,0,2937,2834,1805,91,7667
Porto Alegre,291,5,3,1,1,1,1,699,5356,58,105,6218
Aracaju,230,4,1,2,5,0,0,4685,5892,1993,172,12742
Manaus,299,3,1,4,16,1,1,2806,6736,903,82,10527
Belo Horizonte,297,3,1,2,10,1,1,2886,748,1623,67,5324
Joinville,401,5,3,0,0,0,0,4210,3819,1952,163,10144
Serra,94,5,1,1,18,1,0,3818,5101,1934,167,11020
Jaboatão dos Guararapes,288,3,2,1,19,1,1,250,6018,1726,137,8131
Caxias do Sul,364,2,2,3,7,0,1,1930,3366,1902,173,7371
Sorocaba,460,2,4,4,6,1,0,4493,2003,783,124,7403
Maringá,156,2,3,3,0,1,0,2367,7735,1740,91,11933
Guarulhos,187,1,1,0,2,1,0,3722,7855,1002,122,12701
Brasília,450,5,2,4,0,0,0,2356,4664,52,91,7163
Teresina,332,2,4,2,16,1,1,4595,6564,1611,92,12862
Serra,307,4,4,1,9,0,0,3622,5231,1173,91,10117
Rio de Janeiro,382,5,2,4,9,0,1,4565,6734,1731,77,13107
Macapá,49,4,1,1,9,1,1,3167,9999,678,58,13902
São Gonçalo,397,5,4,4,13,1,0,1003,7763,1661,105,10532
Manaus,61,4,3,0,16,1,0,2947,3680,1050,103,7780
Guarulhos,144,2,4,1,8,1,1,881,4632,211,81,5805
Santo André,122,2,3,4,1,1,1,609,2078,133,97,2917
Ananindeua,35,3,3,3,3,0,1,3669,4614,1719,48,10050
Porto Alegre,291,5,2,0,12,0,0,1151,9813,111,174,11249
Fortaleza,394,2,1,3,4,1,1,3327,6171,772,30,10300
Barueri,282,3,4,1,8,0,1,4984,1807,547,155,7493
Londrina,164,4,1,1,12,0,0,3976,3216,332,92,7616
Macapá,113,3,3,3,12,0,0,3110,4363,875,46,8394
Brasília,420,2,3,4,17,1,0,3181,1326,374,34,4915
Ananindeua,265,2,3,0,15,1,1,4420,2397,641,141,7599
Vitória,191,3,3,0,14,1,0,4160,924,1364,169,6617
Fortaleza,469,4,2,1,19,0,0,4804,8151,26,70,13051
Caxias do Sul,215,3,4,4,13,0,0,1066,6643,1133,28,8870
Joinville,476,5,4,0,0,1,0,230,6146,1046,92,7514
Maringá,295,3,2,0,18,0,0,3892,6357,1571,166,11986
Maringá,418,4,1,4,12,0,1,4328,5810,184,172,10494
Recife,270,4,3,3,1,0,1,1974,4695,1525,161,8355
Caxias do Sul,178,5,3,1,10,1,1,3197,5039,683,24,8943
Boa Vista,46,3,4,3,8,1,1,1212,7027,1334,18,9591
Boa Vista,257,1,1,0,5,1,0,4806,3824,134,80,8844
Recife,155,4,4,2,12,0,0,4416,9767,437,113,14733
Guarulhos,445,4,3,2,3,1,1,3953,9011,1626,40,14630
Montes Claros,159,4,1,2,12,1,1,2137,7581,1862,104,11684
Osasco,20,4,4,3,16,0,0,4975,7116,83,114,12288
Cuiabá,360,1,4,4,2,1,0,2745,3213,1681,30,7669
Maceió,55,3,4,2,4,1,0,2605,6621,211,115,9552
Piracicaba,207,1,4,1,3,0,1,4679,3335,1704,51,9769
Cuiabá,452,1,4,4,5,1,1,2386,4558,35,95,7074
Montes Claros,302,1,4,0,15,0,0,3092,1991,1662,174,6919
São José dos Campos,330,4,4,2,13,0,1,490,6473,1396,112,8471
Maceió,238,3,1,0,0,0,1,1423,2870,1998,99,6390
Joinville,135,2,3,0,5,0,0,3621,4981,1862,78,10542
Feira de Santana,260,1,1,1,8,1,0,436,7952,643,98,9129
Belém,283,3,1,2,7,0,1,3087,4469,1795,28,9379
Feira de Santana,188,3,1,0,6,0,1,3365,2038,227,106,5736
Aparecida de Goiânia,20,2,4,2,3,0,1,1933,9074,955,144,12106
Belém,151,2,4,3,12,1,0,4327,1658,1472,191,7648
Barueri,426,4,2,1,5,1,0,3468,3144,413,156,7181
Teresina,467,5,4,4,16,1,0,2453,6078,1255,72,9858
Aparecida de Goiânia,356,5,2,0,6,0,0,4366,2357,986,178,7887
Joinville,79,3,3,3,18,0,0,4913,6607,1479,93,13092
São Luís,489,1,3,3,18,1,0,257,976,1200,112,2545
Curitiba,111,1,4,3,4,0,1,3831,2892,1705,166,8594
Contagem,191,1,1,0,16,1,0,3209,9222,1538,42,14011
Maceió,402,2,4,0,0,1,1,2522,7430,408,164,10524
Guarulhos,290,4,4,4,7,1,1,464,5270,859,140,6733
Recife,115,5,4,4,16,0,0,2208,2094,1281,129,5712
Porto Velho,127,1,1,0,0,1,0,4275,7350,413,99,12137
Campinas,75,2,2,2,3,1,1,3270,4224,1917,113,9524
Rio de Janeiro,129,5,3,3,17,1,0,372,4173,1641,163,6349
Recife,151,3,1,1,10,1,0,4143,7356,1813,194,13506
Macapá,31,2,1,0,13,0,1,3615,3643,498,35,7791
Recife,74,2,2,0,3,0,1,3233,8047,834,16,12130
Maceió,180,4,2,0,15,0,0,2415,3295,1439,152,7301
Natal,161,3,1,1,16,0,0,1724,7957,1693,79,11453
João Pessoa,241,3,2,0,16,1,0,4327,3391,481,104,8303
Curitiba,100,2,1,3,1,1,0,3846,1492,496,191,6025
Porto Velho,210,5,4,3,7,0,0,149,9361,519,19,10048
Rio de Janeiro,493,4,1,1,16,0,1,3639,2906,494,86,7125
Recife,238,3,4,4,16,0,0,3063,5085,557,85,8790
Aracaju,214,3,2,3,11,1,1,4600,7786,480,46,12912
Fortaleza,26,4,4,1,0,0,1,125,4519,432,161,5237
Porto Alegre,110,4,2,0,4,0,0,2432,6103,3,38,8576
Boa Vista,31,5,1,3,7,1,1,4715,6518,456,135,11824
Feira de Santana,454,4,4,1,11,0,1,2021,3549,195,20,5785
Aracaju,44,3,4,4,17,0,0,2479,4856,756,102,8193
Mogi das Cruzes,77,5,3,1,17,0,1,3445,6340,87,110,9982
Natal,487,2,1,4,12,0,0,4305,7708,624,73,12710
Londrina,424,5,1,0,13,1,0,1864,1196,1910,148,5118
São Luís,26,3,2,4,0,0,0,1094,724,1661,89,3568
Fortaleza,228,1,2,3,15,1,1,1245,7443,1678,196,10562
Florianópolis,54,5,4,0,15,1,0,1490,1394,1552,84,4520
Contagem,235,5,4,0,8,0,0,151,9740,927,193,11011
Duque de Caxias,46,3,2,1,10,1,0,2980,3317,646,31,6974
Porto Alegre,494,2,2,2,6,1,1,3360,8758,1210,59,13387
Feira de Santana,186,5,3,3,13,1,1,2848,3176,1433,56,7513
Porto Alegre,274,5,1,1,16,1,0,2571,7233,1134,93,11031
Teresina,440,3,2,0,15,1,1,4868,4420,1359,91,10738
Joinville,184,2,3,3,0,1,1,915,609,1702,25,3251
Belo Horizonte,229,4,3,0,0,1,0,1563,3315,1479,11,6368
Joinville,172,3,4,4,7,1,1,1228,7049,409,85,8771
Aracaju,56,3,3,0,11,0,1,931,8821,891,134,10777
Macapá,438,2,3,3,17,1,0,1806,8928,71,25,10830
Serra,446,3,4,1,19,1,1,4220,7454,1075,172,12921
Natal,486,3,1,0,12,0,1,4987,3354,1158,136,9635
Santo André,191,5,2,2,4,0,1,1462,2987,1946,199,6594
Natal,196,2,1,0,9,1,1,838,2074,1006,22,3940
Cuiabá,251,3,2,2,12,1,1,4871,3408,1012,29,9320
Maceió,353,1,2,0,4,1,1,661,5933,1731,151,8476
Goiânia,186,2,1,2,17,0,1,553,8152,1629,17,10351
Montes Claros,365,2,2,1,0,1,0,2107,8817,212,99,11235
Contagem,82,4,4,3,10,0,1,3578,1220,1065,15,5878
Serra,247,4,1,1,8,0,1,4420,4679,1592,195,10886
Uberlândia,295,3,1,4,15,1,1,390,3580,590,193,4753
Porto Velho,238,4,3,1,13,1,0,353,9061,1340,66,10820
Fortaleza,76,1,4,4,13,1,1,2509,9310,1353,132,13304
João Pessoa,202,1,2,4,7,0,0,2123,8091,1296,185,11695
Rio de Janeiro,404,1,3,4,9,0,1,1314,8872,1892,85,12163
Belo Horizonte,179,4,4,2,0,0,1,1327,6097,1230,68,8722
Sorocaba,27,2,2,0,5,0,1,2777,5531,1851,51,10210
Macapá,391,5,2,2,4,0,1,3285,2764,768,17,6834
Sorocaba,388,1,2,4,15,0,0,2142,837,1635,175,4789
Rio de Janeiro,48,4,3,4,14,0,1,4422,8880,498,188,13988
Santo André,125,2,2,1,1,0,0,3869,6179,1684,137,11869
João Pessoa,409,1,4,4,4,1,0,2277,3105,1065,197,6644
Montes Claros,294,1,3,1,15,0,1,3211,8821,1904,55,13991
Ribeirão Preto,259,2,3,0,9,1,0,2479,4004,676,20,7179
Guarulhos,57,5,1,0,15,1,0,83,3166,864,107,4220
Maringá,177,5,3,3,13,0,0,2754,4967,443,135,8299
Manaus,302,5,2,3,19,0,1,3736,9005,425,30,13196
Florianópolis,302,3,2,3,3,1,1,2207,5064,851,174,8296
Osasco,256,2,4,0,7,1,1,1528,2157,1940,25,5650
Goiânia,44,4,4,0,3,1,1,1711,5269,212,189,7381
Serra,357,3,2,3,8,1,1,706,8416,1200,162,10484
Campinas,127,2,3,2,14,1,1,891,610,1790,96,3387
Manaus,288,1,4,1,5,1,1,3934,8744,581,135,13394
Barueri,342,5,3,3,3,1,0,2452,6978,1408,101,10939
Contagem,34,4,3,4,4,1,1,4143,7201,715,32,12091
Florianópolis,280,2,3,3,18,1,0,1434,1897,778,152,4261
São José dos Campos,308,2,4,4,1,1,0,2614,5115,1101,59,8889
Montes Claros,207,1,4,4,10,1,0,3975,5008,419,185,9587
Serra,388,4,1,2,13,0,1,2079,8533,547,131,11290
Cuiabá,310,5,4,2,19,0,0,2160,5426,346,159,8091
Cuiabá,192,2,2,3,0,0,0,2892,9244,932,65,13133
Jundiaí,487,1,4,0,10,0,1,1471,8965,804,193,11433
Feira de Santana,228,4,1,4,19,0,0,820,4221,220,162,5423
Goiânia,289,2,2,2,14,0,0,2810,6849,669,35,10363
Mogi das Cruzes,377,4,1,0,6,0,0,585,3478,1732,27,5822
Jundiaí,96,1,4,4,14,0,1,4285,5629,509,27,10450
Brasília,362,3,4,1,11,1,1,1739,8195,497,160,10591
Goiânia,177,5,3,3,12,1,0,2043,4204,1570,52,7869
João Pessoa,439,2,1,1,17,0,1,4112,6819,285,116,11332
São Gonçalo,116,5,2,0,0,1,0,4031,3408,976,129,8544
Cuiabá,288,3,3,2,0,0,0,4678,5579,326,181,10764
Porto Velho,34,5,1,3,0,0,1,461,2616,838,76,3991
Montes Claros,236,2,2,3,12,0,0,1057,2499,746,90,4392
Aparecida de Goiânia,141,5,2,1,13,1,1,4724,9464,1378,178,15744
Manaus,216,5,2,4,3,0,0,2572,3717,1076,189,7554
Salvador,192,3,3,0,19,0,0,102,9741,566,185,10594
Osasco,239,5,4,3,2,0,0,917,7169,395,36,8517
Duque de Caxias,70,1,3,0,5,0,0,3648,7383,162,77,11270
São José dos Campos,81,1,3,3,10,0,1,4165,8098,1655,31,13949
Montes Claros,471,5,3,2,11,1,0,4927,3726,1950,116,10719
João Pessoa,270,4,3,0,16,1,1,1928,6201,170,197,8496
Ribeirão Preto,453,2,2,1,12,1,0,368,2384,1515,134,4401
Barueri,150,5,1,4,0,0,1,3562,3470,1783,183,8998
Cuiabá,152,5,2,2,4,0,1,194,5158,695,192,6239
Serra,32,1,4,1,1,1,1,1369,5874,1103,104,8450
Maringá,311,2,3,2,10,0,1,3779,1248,1463,42,6532
Caxias do Sul,126,4,3,4,2,1,1,1433,7243,341,191,9208
Manaus,206,5,4,2,2,1,0,1987,1938,542,198,4665
Piracicaba,401,4,2,0,9,0,1,698,3170,688,59,4615
São Luís,140,2,2,2,15,1,0,859,3387,1334,117,5697
Manaus,239,2,4,4,0,1,1,2817,7696,1643,71,12227
Santo André,467,3,1,0,18,0,1,1168,8152,1770,129,11219
Brasília,105,1,1,4,6,1,1,2170,5860,536,192,8758
Duque de Caxias,135,3,1,0,2,1,0,4055,7210,1767,54,13086
Teresina,494,4,3,1,8,1,1,2998,5920,1159,158,10235
Niterói,227,1,2,0,13,0,0,3809,1689,1840,111,7449
Maringá,410,2,2,1,19,0,0,3216,5951,877,181,10225
Teresina,296,3,1,4,1,1,0,3990,7513,23,124,11650
Porto Velho,89,1,2,3,7,1,1,4095,6572,242,145,11054
Duque de Caxias,157,2,2,0,1,1,1,2651,8657,739,182,12229
Campo Grande,314,4,2,0,13,1,0,977,2291,1270,13,4551
Montes Claros,314,5,2,3,14,1,1,2313,5901,1457,59,9730
Londrina,412,1,4,0,5,0,1,10,5011,75,36,5132
Ribeirão Preto,481,3,2,4,12,0,1,2806,3139,150,28,6123
Fortaleza,240,2,1,3,10,0,0,2451,3086,1254,39,6830
Vitória,167,5,2,2,5,1,1,301,1883,716,57,2957
Jundiaí,456,3,3,0,9,0,1,1118,8047,849,174,10188
Campo Grande,353,1,4,2,16,0,1,928,4777,270,37,6012
Niterói,116,5,2,2,13,0,0,3667,8716,461,175,13019
Duque de Caxias,81,3,2,2,17,1,0,4404,7525,1782,35,13746
Santo André,297,2,2,0,5,1,0,3874,7258,309,162,11603
Belo Horizonte,123,2,1,1,2,1,0,828,5740,632,20,7220
Campinas,121,2,2,4,5,0,0,2492,9395,624,147,12658
Campinas,93,2,2,2,8,0,0,386,5411,1374,131,7302
Londrina,241,2,2,1,17,0,1,4450,2836,448,79,7813
Vitória,246,2,2,4,16,1,0,321,6727,91,51,7190
Contagem,42,3,3,2,6,1,1,407,8144,1197,39,9787
Campinas,437,4,1,4,13,0,0,902,6085,1166,122,8275
São Gonçalo,374,4,4,3,10,0,1,2422,1582,656,182,4842
Jundiaí,356,3,2,0,13,1,1,2007,9648,622,174,12451
Campinas,245,3,4,2,10,0,0,4540,3669,1266,42,9517
Ananindeua,276,3,1,0,4,0,1,4207,3133,1042,195,8577
Betim,481,3,4,0,16,0,0,4469,9560,402,152,14583
Duque de Caxias,254,3,4,1,14,0,1,4382,7892,1428,192,13894
Salvador,100,4,1,4,12,0,0,4745,2321,929,155,8150
Aparecida de Goiânia,470,2,3,4,1,1,1,2556,819,756,195,4326
Curitiba,49,4,2,2,17,0,1,1100,5486,903,32,7521
Sorocaba,81,3,2,0,9,0,1,4910,592,1702,188,7392
Porto Velho,283,3,2,0,14,0,1,2074,5913,1864,44,9895
Curitiba,57,4,4,0,2,0,0,719,2407,1573,30,4729
Teresina,222,4,3,1,3,1,0,1137,5760,463,127,7487
Vila Velha,95,3,1,4,16,0,0,2507,1048,1086,29,4670
Sorocaba,131,3,2,1,6,0,0,1736,1709,375,121,3941
Campinas,70,1,3,4,17,0,1,4737,2157,74,90,7058
Sorocaba,220,2,1,1,4,1,1,3530,9611,519,89,13749
Caxias do Sul,74,5,4,1,11,1,1,4352,6913,1729,169,13163
Feira de Santana,361,3,2,4,16,1,0,769,1181,155,56,2161
Boa Vista,471,3,4,1,4,1,1,4879,2374,945,76,8274
Belo Horizonte,411,2,4,4,19,1,1,3255,7201,68,56,10580
Ananindeua,203,5,4,0,4,0,0,3413,3659,938,68,8078
Maceió,382,4,2,0,1,1,0,1517,9360,687,76,11640
Betim,338,2,3,1,3,0,1,2038,2645,992,114,5789
Florianópolis,24,1,1,4,3,0,1,4663,5216,1870,92,11841
Barueri,250,5,3,1,13,1,0,2983,6774,690,145,10592
Montes Claros,160,5,3,0,0,1,0,4008,8870,1247,93,14218
Belo Horizonte,350,3,4,2,19,0,1,495,5978,1193,21,7687
Barueri,296,3,1,4,15,0,0,2652,9136,1860,104,13752
Joinville,254,2,1,2,5,1,0,3663,2525,984,139,7311
Aparecida de Goiânia,296,3,3,2,8,0,1,3005,2032,426,33,5496
Piracicaba,182,1,3,4,3,1,1,1368,2794,194,149,4505
Boa Vista,427,2,3,2,17,1,0,801,1440,227,63,2531
Goiânia,422,3,1,2,3,0,0,2069,2342,133,77,4621
Salvador,173,4,1,1,7,0,0,4159,5885,86,93,10223
Joinville,462,4,4,1,7,0,0,1763,7834,875,119,10591
Jaboatão dos Guararapes,353,4,4,4,12,0,1,3593,7436,1208,90,12327
Londrina,439,4,2,3,14,0,0,4740,6423,193,54,11410
Feira de Santana,494,4,2,1,6,0,1,2354,8405,1303,49,12111
Campinas,166,3,4,0,5,1,1,4960,1393,544,58,6955
Porto Velho,237,4,4,2,2,1,1,1997,9237,550,113,11897
Recife,437,2,1,3,12,1,0,3948,6288,1819,22,12077
Piracicaba,404,2,1,1,15,0,0,4006,579,614,105,5304
Niterói,421,4,3,2,8,0,0,446,7098,1380,52,8976
Campo Grande,192,3,1,1,11,1,0,4851,9505,1981,56,16393
Feira de Santana,442,1,2,1,15,1,1,3244,2319,594,94,6251
Piracicaba,426,4,4,3,1,1,1,1476,4001,1307,28,6812
Ananindeua,27,3,4,2,7,1,1,4688,6195,453,122,11458
Cuiabá,308,2,1,1,3,1,0,639,6881,1576,185,9281
Vitória,442,4,1,1,14,1,1,422,7214,1248,198,9082
Vitória,240,1,1,4,12,1,0,1068,1259,740,156,3223
Campinas,223,1,4,0,15,0,1,2607,7886,503,145,11141
Teresina,147,2,1,2,16,1,0,528,995,1074,14,2611
Serra,367,2,1,2,8,1,0,743,5716,1459,56,7974
Brasília,55,1,2,0,8,0,1,1468,4318,1565,52,7403
Santo André,366,3,3,0,8,1,0,3703,8601,495,187,12986
Macapá,290,1,4,4,10,0,1,2086,6493,946,79,9604
Cuiabá,67,1,1,4,5,1,0,409,5854,1472,113,7848
São Luís,90,5,4,2,3,0,0,1761,7697,75,18,9551
João Pessoa,291,2,2,4,14,0,0,617,4012,378,33,5040
Brasília,495,1,2,0,13,0,0,2215,2931,1949,87,7182
Uberlândia,86,5,1,0,16,1,1,58,3782,1507,86,5433
Feira de Santana,256,2,1,1,11,1,1,3309,4900,32,113,8354
Jaboatão dos Guararapes,139,3,3,4,9,1,1,1966,5636,1982,184,9768
Londrina,351,3,1,2,6,1,1,4455,6706,1215,10,12386
Rio de Janeiro,353,3,2,0,8,0,0,967,1388,1340,98,3793
Montes Claros,452,5,4,2,15,0,0,1382,1349,1083,131,3945
Fortaleza,419,2,3,2,6,0,0,4939,8926,826,119,14810
Goiânia,43,3,4,3,14,1,0,2253,2052,166,172,4643
Porto Velho,151,1,4,1,12,1,1,391,6139,223,61,6814
Fortaleza,345,4,1,4,8,1,0,2297,8672,664,117,11750
Mogi das Cruzes,89,1,3,1,11,1,1,2295,2886,583,76,5840
Brasília,308,2,2,2,16,1,1,2563,2143,1360,112,6178
São José dos Campos,153,3,3,1,12,0,1,4354,4895,1840,50,11139
Londrina,352,5,4,3,6,0,0,1766,3352,1184,88,6390
Curitiba,302,5,2,3,1,1,1,2818,8536,401,182,11937
Maringá,86,4,4,3,15,0,0,3277,6560,700,92,10629
Serra,90,1,3,4,1,1,1,3511,1879,1865,162,7417
Rio de Janeiro,468,2,2,4,5,0,0,2530,5466,329,60,8385
Natal,459,4,1,3,4,1,0,2928,7412,1582,168,12090
Uberlândia,441,1,3,0,1,0,0,1456,9868,1611,123,13058
Recife,387,4,1,1,2,1,1,935,4056,1602,126,6719
Vitória,65,4,1,3,15,0,1,2697,3128,1540,166,7531
Fortaleza,456,3,4,1,16,1,0,1509,1799,817,98,4223
São Luís,351,3,4,2,0,0,1,1104,6833,1485,34,9456
Brasília,268,1,1,2,0,0,0,1245,6977,161,13,8396
Ananindeua,225,2,4,4,10,1,0,4899,4082,1035,143,10159
Aparecida de Goiânia,390,3,3,1,19,0,0,3582,6757,1045,162,11546
Osasco,413,5,4,4,7,1,1,745,2082,154,163,3144
Belém,110,4,1,2,1,1,1,4255,1117,528,48,5948
Boa Vista,36,1,3,1,7,1,0,3779,8921,1342,22,14064
Serra,497,1,4,2,1,0,1,1435,8984,240,71,10730
Natal,352,3,2,2,3,0,1,3091,4104,1281,104,8580
Manaus,438,4,4,0,6,1,1,2959,1192,1607,87,5845
Macapá,335,5,3,0,5,0,1,53,862,1813,160,2888
Contagem,366,5,4,2,17,0,0,1685,2417,1721,57,5880
São Gonçalo,45,5,1,3,16,0,1,3258,7733,772,133,11896
São Luís,288,5,4,2,16,0,0,128,635,843,181,1787
Recife,317,3,4,4,14,0,1,977,7772,1770,41,10560
Recife,232,2,1,3,1,0,1,4123,9870,1528,133,15654
Salvador,50,4,3,4,9,1,0,1384,3584,1129,64,6161
Natal,311,1,4,2,5,0,1,2910,8130,1079,67,12186
Londrina,298,2,1,0,16,1,1,3015,5244,144,99,8502
Mogi das Cruzes,259,3,3,2,2,0,0,2556,3856,1706,122,8240
Teresina,147,1,3,0,15,0,0,1911,3974,77,48,6010
Mogi das Cruzes,418,5,2,3,14,1,1,4686,2641,299,26,7652
Aparecida de Goiânia,480,1,4,0,10,0,0,4659,6375,414,129,11577
Boa Vista,203,4,2,3,18,1,0,3749,6362,1260,64,11435
Osasco,316,4,3,2,14,0,0,4860,5438,408,176,10882
Vila Velha,193,4,2,4,9,1,0,2912,5807,1827,18,10564
Mogi das Cruzes,436,3,2,3,9,0,1,2973,5987,1169,50,10179
Mogi das Cruzes,274,1,1,0,2,0,1,4054,9548,1274,175,15051
Betim,185,2,2,2,9,0,1,4260,6967,346,126,11699
Aracaju,378,2,4,4,17,0,0,100,5166,1970,89,7325
Campo Grande,443,2,3,3,0,0,1,3525,5230,1099,89,9943
Betim,385,5,2,2,14,0,0,3163,4114,814,117,8208
Jaboatão dos Guararapes,231,5,4,4,0,0,0,4280,4221,1249,159,9909
João Pessoa,426,1,4,4,2,1,0,174,3769,435,64,4442
Florianópolis,35,3,2,3,6,1,1,263,6367,1903,166,8699
Vitória,139,4,2,2,9,0,1,1943,6897,551,49,9440
Ananindeua,225,5,4,2,5,1,0,4787,7769,283,32,12871
Fortaleza,135,1,1,2,10,0,0,741,5128,1623,175,7667
Natal,392,2,2,3,13,1,0,1535,8547,106,114,10302
Mogi das Cruzes,189,3,1,1,10,0,0,3560,6180,1464,69,11273
São Luís,139,1,1,2,6,1,0,3896,7579,650,127,12252
João Pessoa,165,3,1,3,5,1,0,2903,9498,1669,195,14265
Porto Velho,290,3,3,1,15,0,0,2541,7880,1010,123,11554
São Gonçalo,424,2,2,2,11,0,1,259,5579,350,129,6317
Guarulhos,79,2,2,3,1,1,0,3699,5654,1587,135,11075
Vila Velha,314,5,2,4,11,0,1,4235,2003,1087,195,7520
Contagem,457,1,3,2,1,1,1,2143,1115,1014,190,4462
Maringá,29,2,2,0,8,1,1,4654,4361,445,157,9617
Caxias do Sul,145,1,3,1,0,1,1,3521,5071,314,186,9092
Niterói,293,1,4,0,3,0,0,3486,1244,780,184,5694
Curitiba,474,4,2,2,4,0,0,1738,2865,1432,173,6208
Niterói,314,5,3,3,14,1,0,2215,2738,616,34,5603
Barueri,86,2,1,3,0,1,1,3860,3868,658,30,8416
Recife,276,2,1,0,4,0,0,2642,1726,687,65,5120
Montes Claros,261,5,3,4,19,0,0,1966,788,1542,186,4482
Vitória,97,2,2,2,13,1,1,2742,5426,1017,91,9276
São Paulo,65,5,3,4,5,1,1,2484,2910,330,101,5825
Mogi das Cruzes,75,1,1,0,11,1,1,4002,7407,1654,168,13231
Boa Vista,259,3,2,1,19,0,0,1762,4830,1744,112,8448
Guarulhos,183,5,2,0,7,1,0,1801,6622,563,59,9045
Duque de Caxias,461,3,4,3,8,0,1,3137,4376,106,143,7762
Guarulhos,422,5,2,4,13,0,1,988,7856,1028,110,9982
Boa Vista,75,3,2,1,18,0,0,2179,2219,822,163,5383
Sorocaba,107,1,1,3,18,1,0,289,9915,528,158,10890
Porto Alegre,32,2,2,2,12,1,0,4255,5867,107,88,10317
São Gonçalo,211,1,2,4,0,1,0,3658,4714,443,195,9010
Vila Velha,377,4,3,4,6,0,1,3956,9881,1290,19,15146
João Pessoa,445,3,4,4,10,0,0,887,8455,577,196,10115
Montes Claros,254,5,1,4,3,1,1,3017,3520,1595,29,8161
Maringá,188,5,1,1,4,0,1,3033,8995,664,13,12705
Jundiaí,24,3,1,1,15,1,1,807,9060,1345,40,11252
Uberlândia,342,5,1,4,9,1,0,241,4715,1138,32,6126
Fortaleza,128,3,4,3,1,0,0,1992,4939,1678,176,8785
Florianópolis,481,2,2,3,16,0,1,4759,7532,908,81,13280
São Paulo,243,3,3,3,4,1,0,4019,7931,953,72,12975
Montes Claros,382,4,2,0,1,0,1,2663,3508,183,155,6509
Duque de Caxias,478,1,2,1,16,1,1,1597,7616,1761,27,11001
Campo Grande,272,3,2,4,18,0,1,4770,3811,670,63,9314
Guarulhos,356,2,2,0,10,1,1,4730,7978,1372,163,14243
Mogi das Cruzes,190,3,3,1,17,0,1,991,5140,78,98,6307
Ribeirão Preto,105,4,4,2,12,1,1,1227,7705,427,186,9545
São José dos Campos,374,4,4,1,19,1,0,1607,7037,670,30,9344
Natal,231,3,3,2,2,0,1,1192,9618,337,50,11197
Guarulhos,160,3,2,0,0,1,1,4097,7692,1083,143,13015
Fortaleza,286,3,2,4,3,1,1,2797,2658,382,85,5922
Vila Velha,446,4,3,2,4,1,1,828,2469,1352,65,4714
Uberlândia,345,3,1,0,0,0,1,3403,9413,1036,194,14046
Porto Alegre,33,2,1,1,12,1,0,3329,3792,672,74,7867
Jaboatão dos Guararapes,88,5,3,2,14,0,0,2863,6578,696,58,10195
Porto Alegre,83,2,3,3,3,0,0,2837,5538,1432,189,9996
Santo André,463,5,2,0,0,1,1,4921,9016,1697,27,15661
Ribeirão Preto,165,4,4,3,16,1,0,3262,2825,602,46,6735
Salvador,181,4,3,4,19,1,1,91,5648,909,104,6752
Vila Velha,454,4,1,3,8,0,1,773,3545,1924,106,6348
Rio de Janeiro,104,1,1,2,7,1,1,1498,1858,239,84,3679
Barueri,497,3,4,1,16,1,0,2371,2169,916,94,5550
Curitiba,311,3,4,4,8,0,0,2237,1534,235,136,4142
Santo André,304,1,1,4,2,1,0,1855,3472,806,111,6244
Santo André,280,1,3,4,0,1,1,359,1849,549,143,2900
São Luís,145,5,2,2,10,1,0,2169,7541,1323,12,11045
Teresina,223,4,3,2,16,0,1,942,7386,1057,48,9433
Ananindeua,33,5,2,1,2,1,1,2535,9818,58,101,12512
Natal,321,1,3,4,8,1,0,4246,8306,1341,170,14063
Contagem,157,3,2,1,5,1,1,2907,4936,1307,199,9349
Macapá,61,3,3,0,1,0,1,1226,7381,534,87,9228
Aparecida de Goiânia,247,3,3,2,16,0,1,808,4027,639,163,5637
Feira de Santana,499,2,3,4,19,0,1,4950,2997,1782,131,9860
